locationName,streeeAddress,city,state,postalCode,phoneNumber,storeID,url
Conroe,247 S Loop 336 W,Conroe,Texas,77304,936-444-4601,,https://lamadeleine.com/locations/conroe
Crossroads,19710 Northwest Freeway (290),Houston,TX,77065,281-720-1000,,https://lamadeleine.com/locations/houston-crossroads
Downtown Crown,242 Crown Park Avenue,Gaithersburg,MD,20878,240-449-4879,,https://lamadeleine.com/locations/gaithersburg-downtown-crown
East Cobb,4101 Roswell Road,Marietta,GA,30062,770-579-3040,,https://lamadeleine.com/locations/marietta-east-cobb
Elmwood,1200 S. Clearview Pkwy,Harahan,LA,70123,504-818-2450,,https://lamadeleine.com/locations/harahan-elmwood
First Colony,2675 Town Center Boulevard,Sugarland,TX,77479,281-494-4400,,https://lamadeleine.com/locations/sugar-land-first-colony
Flower Mound,2500 Cross Timbers Road,Mound,TX,75028,469-240-5888,,https://lamadeleine.com/locations/flower-mound
Fountains at Farrah,8889 Gateway Blvd. West,Paso,TX,79925,915-225-3660,,https://lamadeleine.com/locations/el-paso-fountains-at-farrah
Frisco,8008 State Hwy 121,Frisco,TX,75034,972-704-2000,,https://lamadeleine.com/locations/frisco
Woodlands,9595 Six Pines Drive,Woodlands,TX,77380,281-419-5826,,https://lamadeleine.com/locations/woodlands
West Grand,23322 Mercantile Parkway,Katy,TX,77449,281-395-2888,,https://lamadeleine.com/locations/katy-west-grand
Waco,2816 Marketplace Drive,Waco,TX,76711,254-262-3171,,https://lamadeleine.com/locations/waco
Uptown,2110 Louisiana Blvd. NE,Albuquerque,NM,87110,505-274-7555,,https://lamadeleine.com/locations/albuquerque-uptown
Gates of Prosper,1140 S Preston Rd,Prosper,Texas,75078,945-207-1286,,https://lamadeleine.com/locations/gates-of-prosper
Grapevine,900 W. State Highway 114,Grapevine,TX,76051,817-251-0255,,https://lamadeleine.com/locations/grapevine
Gwinnett,2255 Pleasant Hill Road,Duluth,GA,30096,770-814-0355,,https://lamadeleine.com/locations/duluth-gwinnett
Houston Galleria,5015 Westheimer Road,Houston,TX,77056,713-993-0287,,https://lamadeleine.com/locations/houston-galleria
Huebner Oaks,11745 Hwy. 10 West,Antonio,TX,78230,210-691-1227,,https://lamadeleine.com/locations/san-antonio-huebner-oaks
Jefferson,7615 Jefferson Highway,Rouge,LA,70809,225-927-6072,,https://lamadeleine.com/locations/baton-rouge-jefferson
Tyler,419 WSW Loop 323,Tyler,TX,75701,903-258-9050,,https://lamadeleine.com/locations/tyler
Kingstowne,5876 Kingstowne Center,Alexandria,VA,22315,571-385-2455,,https://lamadeleine.com/locations/alexandria-kingstowne
Kingwood,4570 Kingwood Drive,Kingwood,TX,77345,281-360-1681,,https://lamadeleine.com/locations/kingwood
Tulsa Hills,8115 S. Olympia Avenue West,Tulsa,OK,74107,918-289-0348,,https://lamadeleine.com/locations/tulsa-hills
Lake Jackson,401-A This Way,Jackson,TX,77566,979-480-1223,,https://lamadeleine.com/locations/lake-jackson
Lakeline,14028 N. US Hwy 183,Austin,TX,78717,512-410-7535,,https://lamadeleine.com/locations/austin-lakeline
MacArthur,6430 North MacArthur Boulevard,Irving,TX,75039,469-385-1700,,https://lamadeleine.com/locations/irving-macarthur
Mandeville,3434 Highway 190,Mandeville,LA,70471,985-626-7004,,https://lamadeleine.com/locations/mandeville
McKinney,3625 West University Drive,McKinney,TX,75071,469-581-1300,,https://lamadeleine.com/locations/mckinney
Meyerland,4700 Beechnut,Houston,TX,77096,713-218-8075,,https://lamadeleine.com/locations/houston-meyerland
Midway,4343 W. Northwest Hwy,Dallas,TX,75220,214-357-5621,,https://lamadeleine.com/locations/dallas-midway
Mockingbird,3072 Mockingbird Lane,Dallas,TX,75205,214-696-0800,,https://lamadeleine.com/locations/dallas-mockingbird
Montfort ,15125 Montfort Road,Dallas,TX,75254,469-885-8080,,https://lamadeleine.com/locations/addison-montfort
Town & Country,770 W. Sam Houston Parkway N.,Houston,TX,77024,713-465-7370,,https://lamadeleine.com/locations/houston-town-country
Norman,1954 24th Avenue NW,Norman,OK,73069,405-416-1942,,https://lamadeleine.com/locations/university-town-center-norman
Tierra Del Este,3440 Joe Battle Blvd. ,,Texas,79938,915-229-2700,,https://lamadeleine.com/locations/el-paso-tierra-del-este-center
North Arlington,2101 N. Collins,,TX,76011,817-461-3634,,https://lamadeleine.com/locations/north-arlington
Northpark,8687 N. Central Expressway,Dallas,TX,75225,214-696-2398,,https://lamadeleine.com/locations/dallas-northpark
Northwoods,18030 US Hwy 281 N,Antonio,TX,78232,210-499-0208,,https://lamadeleine.com/locations/san-antonio-northwoods
The Forum,8134 Agora Parkway,Oak,TX,78154,210-306-2922,,https://lamadeleine.com/locations/live-oak-the-forum
Overton Park,4626 SW Loop 820,Worth,TX,76109,817-717-5200,,https://lamadeleine.com/locations/fort-worth-overton-park
Park District - Petite Market & Bakery,2100 Olive Street,Dallas,TX,75201,972-913-2280,,https://lamadeleine.com/locations/dallas-park-district
Park North,722 NW Loop 410,Antonio,TX,78216,210-979-9161,,https://lamadeleine.com/locations/san-antonio-park-north
The Met,3615 West Chandler Blvd,Chandler,AZ,85226,480-999-2095,,https://lamadeleine.com/locations/the-met-at-chandler-mall
Parkway Village,1560 Eldridge Parkway,Houston,TX,77077,281-940-8516,,https://lamadeleine.com/locations/houston-parkway-village
Pearland,11200 Broadway Street,Pearland,TX,77584,832-916-3598,,https://lamadeleine.com/locations/pearland
Tanglewood,5885 San Felipe Street,Houston,TX,77057,832-726-1315,,https://lamadeleine.com/locations/houston-tanglewood
Perimeter,1165 Perimeter Center West,Atlanta,GA,30338,770-392-0516,,https://lamadeleine.com/locations/atlanta-perimeter
Perkins Rowe,7707 Bluebonnet Boulevard,Rouge,LA,70810,225-766-1875,,https://lamadeleine.com/locations/baton-rouge-perkins-rowe
Sunset Valley,5493 Brodie Lane,Austin,TX,78745,512-287-4081,,https://lamadeleine.com/locations/austin-sunset-valley
Spring ,6805 N Grand Parkway,Spring,TX,77389,346-298-6390,,https://lamadeleine.com/locations/spring
Plano,5000 W. Park Boulevard,Plano,TX,75093,972-407-1878,,https://lamadeleine.com/locations/plano
South Arlington,4201 S. Cooper Street,Arlington,TX,76015,817-417-5100,,https://lamadeleine.com/locations/south-arlington
Presidio Junction,8825 N Fwy Service Rd E,Worth,TX,76177,682-593-5605,,https://lamadeleine.com/locations/fort-worth-presidio-junction
Shops at Martial,2207-I Kaliste Saloom Road,Lafayette,LA,70508,337-504-7369,,https://lamadeleine.com/locations/lafayette-shops-at-martial
Preston Forest,11930 Preston Road,Dallas,TX,75230,972-233-6446,,https://lamadeleine.com/locations/dallas-preston-forest
Reston,1833 Fountain Drive,Reston,VA,20190,703-707-0704,,https://lamadeleine.com/locations/reston
River Oaks,2047-A West Gray,Houston,TX,77019,713-526-9666,,https://lamadeleine.com/locations/houston-river-oaks
Rockwall,987 East I-30,Rockwall,TX,75087,972-722-6650,,https://lamadeleine.com/locations/rockwall
San Tan Village,2156 E. Williams Field Rd.,Gilbert,AZ,85296,480-485-8490,,https://lamadeleine.com/locations/gilbert-san-tan-village
San Jacinto,2100 Ross Avenue,Dallas,TX,75201,214-220-3911,,https://lamadeleine.com/locations/dallas-san-jacinto
Severn,3300 Severn,Metairie,LA,70002,504-456-1624,,https://lamadeleine.com/locations/metairie-severn
